Start,End,Pitch,Velocity
0.0,0.25,74.0,80.0
0.25,0.5,74.0,80.0
0.5,0.75,74.0,80.0
0.75,1.0,70.0,80.0
1.0,1.5,75.0,80.0
2.0,2.25,75.0,80.0
2.25,2.5,74.0,80.0
2.5,2.75,73.0,80.0
2.75,3.5,72.0,80.0
4.0,4.25,74.0,80.0
4.25,4.5,74.0,80.0
4.5,4.75,74.0,80.0
4.75,5.0,75.0,80.0
5.0,5.5,75.0,80.0
5.75,6.0,70.0,80.0
6.0,6.25,73.0,80.0
6.25,6.5,73.0,80.0
6.5,6.75,75.0,80.0
6.75,7.5,77.0,80.0
7.75,8.0,70.0,80.0
8.0,8.5,74.0,80.0
8.75,9.0,70.0,80.0
9.0,9.25,75.0,80.0
9.25,9.75,75.0,80.0
9.75,10.0,75.0,80.0
10.0,10.25,75.0,80.0
10.25,10.5,74.0,80.0
10.5,10.75,73.0,80.0
10.75,11.5,72.0,80.0
11.75,12.0,70.0,80.0
