Start,End,Pitch,Velocity
0.0,0.5,74.0,80.0
0.5,1.0,76.0,80.0
1.0,2.0,76.0,80.0
2.25,2.5,69.0,80.0
2.5,2.75,74.0,80.0
2.75,3.0,76.0,80.0
3.0,3.25,78.0,80.0
3.25,3.5,76.0,80.0
3.5,3.75,76.0,80.0
3.75,4.0,78.0,80.0
4.0,4.5,79.0,80.0
4.5,5.0,75.0,80.0
5.0,6.0,74.0,80.0
6.5,6.75,75.0,80.0
6.75,7.0,76.0,80.0
7.0,7.25,77.0,80.0
7.25,7.5,78.0,80.0
7.5,7.75,79.0,80.0
7.75,8.0,80.0,80.0
8.0,8.5,78.0,80.0
8.5,9.0,74.0,80.0
9.0,9.5,73.0,80.0
9.5,10.0,74.0,80.0
10.25,10.5,70.0,80.0
10.5,10.75,74.0,80.0
10.75,11.0,74.0,80.0
11.0,11.25,73.0,80.0
11.25,11.5,75.0,80.0
11.5,11.75,75.0,80.0
11.75,12.5,77.0,80.0
