Start,End,Pitch,Velocity
0.0,0.25,74.0,80.0
0.25,0.5,74.0,80.0
0.5,0.75,74.0,80.0
0.75,1.0,70.0,80.0
1.0,1.5,75.0,80.0
2.0,2.25,75.0,80.0
2.25,2.5,74.0,80.0
2.5,2.75,73.0,80.0
2.75,3.5,74.0,80.0
4.0,4.25,72.0,80.0
4.25,4.5,70.0,80.0
4.5,4.75,70.0,80.0
4.75,5.0,72.0,80.0
5.0,5.5,70.0,80.0
5.75,6.0,71.0,80.0
6.0,6.25,74.0,80.0
6.25,6.5,74.0,80.0
6.5,6.75,71.0,80.0
6.75,7.5,69.0,80.0
7.75,8.0,70.0,80.0
8.0,8.5,75.0,80.0
8.75,9.0,73.0,80.0
9.0,9.25,72.0,80.0
9.25,9.75,71.0,80.0
9.75,10.0,72.0,80.0
10.0,10.25,70.0,80.0
10.25,10.5,68.0,80.0
10.5,10.75,72.0,80.0
10.75,11.5,74.0,80.0
11.75,12.0,71.0,80.0
